Label,Text,X,Y
ELEVATION,LEVEL 19,2593.0,4901.0
VALUE,"195 ' - 8 """,2616.5,4941.0
ELEVATION,LEVEL 18,2593.0,4987.5
VALUE,"184 ' - 10 """,2607.5,5030.0
ELEVATION,LEVEL 17,2594.0,5075.5
VALUE,"174 ' - 0 """,2616.5,5115.0
ELEVATION,LEVEL 16,2593.0,5161.5
VALUE,"163 ' - 2 """,2616.5,5204.0
ELEVATION,LEVEL 15,2593.5,5250.0
VALUE,"152 ' - 4 """,2616.0,5291.5
ELEVATION,LEVEL 14,2594.0,5337.0
VALUE,"141 ' - 6 """,2617.0,5379.0
ELEVATION,LEVEL 12,2594.0,5441.0
VALUE,"128 ' - 6 """,2617.0,5484.0
ELEVATION,LEVEL 11,2592.5,5554.0
VALUE,"114 ' - 6 """,2616.0,5596.0
ELEVATION,LEVEL 10,2594.0,5668.5
VALUE,"100 ' - 6 """,2617.0,5709.0
ELEVATION,LEVEL 9,2602.5,5748.0
VALUE,"90 ' - 6 """,2625.0,5788.5
ELEVATION,LEVEL 8,2602.5,5827.5
VALUE,"80 ' - 6 """,2626.0,5870.0
ELEVATION,LEVEL 7,2602.0,5909.0
VALUE,"70 ' - 6 """,2624.0,5950.0
ELEVATION,LEVEL 6,2602.5,5989.5
VALUE,"60 ' - 6 """,2625.5,6030.5
ELEVATION,LEVEL 5,2603.0,6069.0
VALUE,"50 ' - 6 """,2624.0,6110.5
ELEVATION,LEVEL 4,2602.5,6150.0
VALUE,"40 ' - 6 """,2625.5,6193.0
ELEVATION,LEVEL 3,2602.5,6230.5
VALUE,"30 ' - 6 """,2625.5,6272.5
ELEVATION,LEVEL 2,2603.0,6335.0
VALUE,"17 ' - 6 """,2625.0,6377.5
ELEVATION,LEVEL 1,2600.5,6476.0
VALUE,0,2610.0,6519.0
no label,"' - 0 """,2644.0,6519.0
