text,label,box_xmin,box_ymin,box_xmax,box_ymax
480,VALUE,2564,2635,2616,2660
',VALUE,2617,2635,2623,2660
-,VALUE,2625,2635,2634,2660
6,VALUE,2636,2635,2653,2660
"""",VALUE,2652,2635,2665,2660
LEVEL,ELEVATION,2522,2680,2620,2706
44,ELEVATION,2629,2680,2666,2706
469,VALUE,2564,2722,2620,2749
',VALUE,2620,2722,2626,2749
-,VALUE,2626,2722,2635,2749
8,VALUE,2635,2722,2652,2749
"""",VALUE,2655,2722,2668,2749
LEVEL,ELEVATION,2523,2766,2621,2797
43,ELEVATION,2629,2767,2665,2796
458,VALUE,2546,2810,2599,2837
',VALUE,2600,2810,2609,2836
-,VALUE,2607,2810,2617,2836
10,VALUE,2620,2810,2653,2836
"""",VALUE,2652,2810,2666,2836
LEVEL,ELEVATION,2523,2854,2618,2882
42,ELEVATION,2627,2854,2664,2880
448,VALUE,2564,2897,2617,2923
',VALUE,2618,2897,2625,2923
-,VALUE,2625,2897,2635,2923
0,VALUE,2634,2897,2652,2923
"""",VALUE,2652,2896,2665,2922
LEVEL,ELEVATION,2522,2943,2620,2970
41,ELEVATION,2627,2943,2662,2970
437,VALUE,2565,2985,2617,3011
',VALUE,2620,2985,2627,3011
-,VALUE,2627,2985,2636,3011
2,VALUE,2636,2985,2653,3011
"""",VALUE,2655,2985,2666,3011
LEVEL,ELEVATION,2522,3028,2620,3057
40,ELEVATION,2627,3028,2665,3055
426,VALUE,2564,3071,2617,3097
',VALUE,2618,3071,2625,3097
-,VALUE,2625,3071,2634,3097
4,VALUE,2634,3071,2653,3097
"""",VALUE,2653,3071,2668,3097
LEVEL,ELEVATION,2522,3115,2621,3144
39,ELEVATION,2630,3115,2665,3144
415,VALUE,2564,3159,2618,3185
',VALUE,2620,3159,2626,3185
-,VALUE,2626,3159,2635,3185
6,VALUE,2636,3159,2655,3185
"""",VALUE,2653,3159,2666,3185
LEVEL,ELEVATION,2522,3205,2621,3231
38,ELEVATION,2630,3205,2665,3231
404,VALUE,2564,3246,2618,3272
',VALUE,2617,3245,2625,3271
-,VALUE,2623,3245,2634,3271
8,VALUE,2634,3245,2652,3271
"""",VALUE,2652,3245,2666,3271
LEVEL,ELEVATION,2522,3290,2620,3319
37,ELEVATION,2627,3290,2664,3318
393,VALUE,2548,3333,2599,3359
',VALUE,2599,3333,2608,3358
-,VALUE,2608,3333,2618,3358
10,VALUE,2621,3333,2653,3358
"""",VALUE,2652,3333,2665,3358
LEVEL,ELEVATION,2522,3397,2622,3424
36,ELEVATION,2630,3397,2666,3424
380,VALUE,2547,3437,2599,3464
',VALUE,2600,3437,2607,3464
-,VALUE,2607,3437,2617,3464
10,VALUE,2618,3436,2652,3464
"""",VALUE,2652,3436,2665,3463
LEVEL,ELEVATION,2522,3484,2621,3510
35,ELEVATION,2630,3484,2665,3510
370,VALUE,2565,3525,2618,3551
',VALUE,2617,3524,2625,3550
-,VALUE,2625,3524,2635,3550
0,VALUE,2634,3524,2653,3550
"""",VALUE,2652,3524,2666,3550
LEVEL,ELEVATION,2523,3569,2620,3596
34,ELEVATION,2629,3569,2664,3596
359,VALUE,2566,3613,2618,3638
',VALUE,2620,3613,2626,3638
-,VALUE,2626,3613,2635,3638
2,VALUE,2636,3613,2655,3638
"""",VALUE,2652,3613,2666,3638
LEVEL,ELEVATION,2523,3657,2621,3686
33,ELEVATION,2630,3657,2665,3686
348,VALUE,2565,3699,2616,3726
',VALUE,2618,3699,2625,3725
-,VALUE,2625,3699,2634,3725
4,VALUE,2634,3699,2653,3725
"""",VALUE,2652,3699,2665,3725
LEVEL,ELEVATION,2523,3742,2621,3773
32,ELEVATION,2629,3744,2668,3773
337,VALUE,2566,3787,2617,3813
',VALUE,2617,3787,2623,3813
-,VALUE,2625,3787,2632,3813
6,VALUE,2635,3786,2652,3812
"""",VALUE,2651,3786,2664,3812
LEVEL,ELEVATION,2522,3831,2618,3859
31,ELEVATION,2629,3830,2660,3857
326,VALUE,2566,3874,2617,3900
',VALUE,2618,3874,2625,3899
-,VALUE,2625,3874,2634,3899
8,VALUE,2634,3874,2652,3899
"""",VALUE,2653,3874,2666,3899
LEVEL,ELEVATION,2522,3920,2622,3948
30,ELEVATION,2630,3920,2666,3948
315,VALUE,2548,3961,2597,3987
',VALUE,2599,3961,2607,3987
-,VALUE,2608,3961,2618,3987
10,VALUE,2621,3961,2652,3987
"""",VALUE,2653,3960,2665,3986
LEVEL,ELEVATION,2522,4006,2622,4035
29,ELEVATION,2629,4006,2665,4035
305,VALUE,2566,4049,2618,4075
',VALUE,2620,4049,2626,4075
-,VALUE,2626,4049,2635,4075
0,VALUE,2636,4049,2655,4075
"""",VALUE,2653,4049,2668,4075
LEVEL,ELEVATION,2522,4093,2618,4121
28,ELEVATION,2629,4093,2665,4121
294,VALUE,2565,4136,2617,4162
',VALUE,2618,4136,2625,4161
-,VALUE,2625,4136,2634,4161
2,VALUE,2635,4136,2653,4161
"""",VALUE,2652,4136,2665,4161
LEVEL,ELEVATION,2523,4182,2621,4208
27,ELEVATION,2630,4182,2665,4208
283,VALUE,2565,4222,2616,4249
',VALUE,2618,4222,2625,4249
-,VALUE,2625,4222,2635,4249
4,VALUE,2632,4222,2652,4249
"""",VALUE,2652,4221,2665,4248
LEVEL,ELEVATION,2522,4269,2621,4296
26,ELEVATION,2629,4269,2665,4296
272,VALUE,2565,4310,2620,4337
',VALUE,2618,4310,2626,4337
-,VALUE,2626,4310,2635,4337
6,VALUE,2635,4310,2655,4337
"""",VALUE,2653,4310,2668,4337
LEVEL,ELEVATION,2522,4355,2621,4383
25,ELEVATION,2630,4355,2665,4383
261,VALUE,2565,4397,2614,4424
',VALUE,2618,4397,2625,4423
-,VALUE,2625,4397,2634,4423
8,VALUE,2635,4397,2652,4423
"""",VALUE,2653,4397,2666,4423
LEVEL,ELEVATION,2521,4441,2620,4471
24,ELEVATION,2626,4440,2664,4468
250,VALUE,2547,4484,2600,4512
',VALUE,2600,4484,2608,4511
-,VALUE,2607,4484,2617,4511
10,VALUE,2620,4484,2653,4511
"""",VALUE,2652,4484,2665,4511
LEVEL,ELEVATION,2523,4538,2621,4566
23,ELEVATION,2630,4538,2665,4566
239,VALUE,2565,4580,2618,4607
',VALUE,2620,4580,2625,4607
-,VALUE,2626,4580,2634,4607
0,VALUE,2635,4580,2653,4607
"""",VALUE,2653,4580,2666,4607
LEVEL,ELEVATION,2522,4625,2621,4653
22,ELEVATION,2630,4625,2666,4653
228,VALUE,2565,4668,2617,4694
',VALUE,2620,4668,2625,4694
-,VALUE,2626,4668,2635,4694
2,VALUE,2634,4668,2652,4694
"""",VALUE,2652,4668,2665,4694
LEVEL,ELEVATION,2523,4712,2621,4739
21,ELEVATION,2630,4712,2662,4739
217,VALUE,2565,4755,2617,4781
',VALUE,2617,4755,2626,4781
-,VALUE,2623,4755,2632,4781
4,VALUE,2631,4755,2651,4781
"""",VALUE,2652,4754,2666,4780
LEVEL,ELEVATION,2522,4799,2621,4828
20,ELEVATION,2630,4799,2666,4828
206,VALUE,2565,4842,2617,4868
',VALUE,2617,4842,2623,4868
-,VALUE,2625,4842,2634,4868
6,VALUE,2636,4842,2655,4868
"""",VALUE,2653,4842,2668,4868
LEVEL,ELEVATION,2522,4887,2620,4915
19,ELEVATION,2630,4887,2664,4913
195,VALUE,2568,4928,2618,4956
',VALUE,2618,4926,2626,4955
-,VALUE,2625,4926,2635,4955
8,VALUE,2634,4926,2653,4955
"""",VALUE,2652,4926,2665,4955
LEVEL,ELEVATION,2522,4973,2620,5002
18,ELEVATION,2630,4973,2664,5000
184,VALUE,2549,5017,2601,5043
',VALUE,2601,5017,2608,5043
-,VALUE,2608,5017,2620,5043
10,VALUE,2621,5017,2653,5043
"""",VALUE,2653,5017,2666,5043
LEVEL,ELEVATION,2523,5061,2621,5090
17,ELEVATION,2631,5061,2665,5089
174,VALUE,2568,5103,2618,5129
',VALUE,2617,5103,2625,5129
-,VALUE,2625,5101,2635,5127
0,VALUE,2634,5101,2653,5127
"""",VALUE,2652,5101,2665,5127
LEVEL,ELEVATION,2522,5148,2620,5175
16,ELEVATION,2632,5148,2664,5175
163,VALUE,2568,5191,2617,5217
',VALUE,2618,5191,2626,5217
-,VALUE,2625,5191,2635,5217
2,VALUE,2635,5191,2653,5217
"""",VALUE,2651,5191,2665,5217
LEVEL,ELEVATION,2522,5236,2621,5264
15,ELEVATION,2632,5236,2665,5264
152,VALUE,2566,5278,2617,5305
',VALUE,2617,5278,2625,5304
-,VALUE,2626,5278,2636,5304
4,VALUE,2634,5278,2653,5304
"""",VALUE,2653,5278,2666,5304
LEVEL,ELEVATION,2522,5323,2621,5351
14,ELEVATION,2631,5323,2666,5351
141,VALUE,2568,5366,2614,5392
',VALUE,2618,5366,2625,5392
-,VALUE,2625,5366,2634,5392
6,VALUE,2636,5366,2653,5392
"""",VALUE,2653,5366,2666,5392
LEVEL,ELEVATION,2523,5426,2621,5456
12,ELEVATION,2631,5427,2665,5456
128,VALUE,2568,5471,2618,5497
',VALUE,2620,5471,2626,5497
-,VALUE,2627,5471,2636,5497
6,VALUE,2636,5471,2655,5497
"""",VALUE,2655,5471,2666,5497
LEVEL,ELEVATION,2523,5539,2622,5569
11,ELEVATION,2631,5540,2662,5569
114,VALUE,2568,5582,2617,5610
',VALUE,2618,5582,2625,5609
-,VALUE,2623,5582,2634,5609
6,VALUE,2635,5582,2652,5609
"""",VALUE,2651,5582,2664,5609
LEVEL,ELEVATION,2522,5654,2621,5683
10,ELEVATION,2631,5654,2666,5683
100,VALUE,2568,5696,2620,5722
',VALUE,2620,5696,2626,5722
-,VALUE,2626,5696,2635,5722
6,VALUE,2635,5696,2652,5722
"""",VALUE,2652,5696,2666,5722
LEVEL,ELEVATION,2540,5735,2640,5761
9,ELEVATION,2647,5735,2665,5761
90,VALUE,2582,5775,2618,5802
',VALUE,2620,5775,2626,5802
-,VALUE,2626,5775,2636,5802
6,VALUE,2636,5775,2655,5802
"""",VALUE,2653,5775,2668,5802
LEVEL,ELEVATION,2539,5814,2638,5841
8,ELEVATION,2647,5814,2666,5841
80,VALUE,2583,5857,2621,5883
',VALUE,2620,5857,2626,5883
-,VALUE,2626,5857,2635,5883
6,VALUE,2635,5857,2653,5883
"""",VALUE,2655,5857,2669,5883
LEVEL,ELEVATION,2540,5895,2639,5923
7,ELEVATION,2647,5895,2664,5923
70,VALUE,2582,5937,2618,5964
',VALUE,2618,5937,2625,5964
-,VALUE,2625,5937,2634,5964
6,VALUE,2634,5937,2652,5964
"""",VALUE,2652,5936,2666,5963
LEVEL,ELEVATION,2540,5976,2639,6003
6,ELEVATION,2647,5976,2665,6003
60,VALUE,2583,6017,2618,6045
',VALUE,2616,6017,2625,6045
-,VALUE,2623,6017,2634,6045
6,VALUE,2636,6017,2655,6045
"""",VALUE,2652,6016,2668,6043
LEVEL,ELEVATION,2540,6056,2639,6082
5,ELEVATION,2648,6056,2666,6082
50,VALUE,2583,6098,2617,6124
',VALUE,2618,6098,2625,6123
-,VALUE,2625,6098,2635,6123
6,VALUE,2636,6098,2653,6123
"""",VALUE,2652,6097,2665,6121
LEVEL,ELEVATION,2540,6137,2639,6163
4,ELEVATION,2645,6137,2665,6163
40,VALUE,2582,6180,2620,6206
',VALUE,2620,6180,2626,6206
-,VALUE,2626,6180,2635,6206
6,VALUE,2635,6180,2653,6206
"""",VALUE,2653,6180,2669,6206
LEVEL,ELEVATION,2540,6216,2636,6245
3,ELEVATION,2647,6216,2665,6243
30,VALUE,2583,6260,2618,6285
',VALUE,2620,6260,2626,6285
-,VALUE,2626,6260,2635,6285
6,VALUE,2635,6260,2653,6285
"""",VALUE,2653,6260,2668,6285
LEVEL,ELEVATION,2540,6322,2640,6348
2,ELEVATION,2647,6322,2666,6348
17,VALUE,2584,6364,2617,6391
',VALUE,2617,6364,2625,6390
-,VALUE,2625,6364,2635,6390
6,VALUE,2635,6364,2653,6390
"""",VALUE,2652,6364,2666,6390
LEVEL,ELEVATION,2539,6462,2638,6490
1,ELEVATION,2648,6462,2662,6490
0,VALUE,2600,6507,2620,6531
