left,top,width,height,text,conf,label
1077,2225,17,23,6,100,VERTICAL
1095,2225,17,23,#,100,VERTICAL
1113,2225,17,23,8,100,VERTICAL
1246,2225,16,23,6,100,VERTICAL
1261,2225,20,23,#,100,VERTICAL
1281,2225,16,23,9,100,VERTICAL
1413,2226,17,24,6,100,VERTICAL
1431,2226,17,24,#,100,VERTICAL
1449,2226,17,24,9,100,VERTICAL
1582,2225,16,23,6,100,VERTICAL
1600,2225,17,23,#,100,VERTICAL
1618,2225,17,23,9,100,VERTICAL
1748,2247,18,-23,6,100,VERTICAL
1764,2247,20,-22,#,100,VERTICAL
1784,2248,18,-23,8,100,VERTICAL
1916,2225,18,23,6,100,VERTICAL
1936,2225,18,23,#,100,VERTICAL
1954,2225,17,23,8,100,VERTICAL
2085,2225,18,23,6,100,VERTICAL
2102,2225,19,23,#,100,VERTICAL
2121,2225,18,23,9,100,VERTICAL
2254,2225,18,22,6,100,VERTICAL
2270,2225,19,22,#,100,VERTICAL
2290,2225,17,22,9,100,VERTICAL
2421,2225,17,23,6,100,VERTICAL
2439,2225,18,23,#,100,VERTICAL
2459,2225,16,23,9,100,VERTICAL
2590,2226,18,22,6,100,VERTICAL
2607,2226,18,22,#,100,VERTICAL
2627,2226,17,22,8,100,VERTICAL
2757,2225,18,23,6,100,VERTICAL
2776,2225,17,23,#,100,VERTICAL
2795,2225,17,23,8,100,VERTICAL
2927,2225,17,23,6,100,VERTICAL
2944,2225,18,23,#,100,VERTICAL
2963,2225,17,23,9,100,VERTICAL
3094,2226,17,21,6,100,VERTICAL
3111,2226,17,21,#,100,VERTICAL
3129,2226,16,21,9,100,VERTICAL
3263,2225,18,23,6,100,VERTICAL
3280,2225,21,23,#,100,VERTICAL
3299,2225,19,23,9,100,VERTICAL
3430,2225,17,22,6,100,VERTICAL
3447,2225,18,22,#,100,VERTICAL
3468,2225,17,22,8,100,VERTICAL
3599,2225,17,23,6,100,VERTICAL
3617,2225,17,23,#,100,VERTICAL
3635,2225,17,23,8,100,VERTICAL
3766,2225,19,23,6,100,VERTICAL
3785,2225,18,23,#,100,VERTICAL
3804,2225,17,23,9,100,VERTICAL
3935,2225,18,22,6,100,VERTICAL
3953,2225,18,22,#,100,VERTICAL
3971,2225,17,22,9,100,VERTICAL
4104,2225,17,22,6,100,VERTICAL
4121,2225,18,22,#,100,VERTICAL
4139,2225,17,22,9,100,VERTICAL
4272,2224,17,23,6,100,VERTICAL
4289,2224,18,23,#,100,VERTICAL
4309,2224,18,23,8,100,VERTICAL
4440,2226,18,22,6,100,VERTICAL
4458,2226,18,22,#,100,VERTICAL
4476,2226,18,22,8,100,VERTICAL
4607,2225,18,23,6,100,VERTICAL
4625,2225,18,23,#,100,VERTICAL
4645,2225,18,23,9,100,VERTICAL
4776,2225,18,23,6,100,VERTICAL
4794,2225,19,23,#,100,VERTICAL
4813,2225,17,23,9,100,VERTICAL
4944,2225,20,23,6,100,VERTICAL
4963,2225,18,23,#,100,VERTICAL
4981,2225,18,23,9,100,VERTICAL
5113,2226,18,22,6,100,VERTICAL
5130,2226,18,22,#,100,VERTICAL
5149,2226,19,22,8,100,VERTICAL
5281,2225,18,22,6,100,VERTICAL
5297,2225,19,22,#,100,VERTICAL
5317,2225,17,22,8,100,VERTICAL
5448,2225,18,22,6,100,VERTICAL
5466,2225,17,22,#,100,VERTICAL
5486,2225,18,22,9,100,VERTICAL
5618,2225,17,22,6,100,VERTICAL
5633,2225,19,22,#,100,VERTICAL
5654,2225,16,22,9,100,VERTICAL
5785,2225,17,22,6,100,VERTICAL
5803,2225,19,22,#,100,VERTICAL
5822,2225,18,22,8,100,VERTICAL
5954,2225,18,23,6,100,VERTICAL
5971,2225,18,23,#,100,VERTICAL
5990,2225,17,23,8,100,VERTICAL
6121,2225,17,22,6,100,VERTICAL
6138,2225,18,22,#,100,VERTICAL
6158,2225,18,22,8,100,VERTICAL
6290,2225,18,23,6,100,VERTICAL
6307,2225,18,23,#,100,VERTICAL
6326,2225,18,23,8,100,VERTICAL
6442,2225,94,23,REINF,100,no label
6539,2225,8,23,.,100,no label
58,2265,72,26,TIES,100,no label
237,2268,60,22,3/18,100,TIES
405,2268,61,22,3/18,100,TIES
573,2265,60,25,3/16,100,TIES
741,2265,62,25,3/16,100,TIES
909,2265,61,26,3/16,100,TIES
1078,2267,62,24,3/16,100,TIES
1247,2265,58,26,3/18,100,TIES
1414,2268,59,22,3/18,100,TIES
1582,2268,61,21,3/18,100,TIES
1750,2267,61,23,3/16,100,TIES
1918,2265,59,28,3/16,100,TIES
2086,2265,57,28,3/18,100,TIES
2255,2264,60,29,3/18,100,TIES
2422,2268,61,22,3/18,100,TIES
2591,2265,62,25,3/16,100,TIES
2758,2267,61,24,3/16,100,TIES
2927,2269,60,21,3/18,100,TIES
3094,2269,61,21,3/18,100,TIES
3264,2265,60,26,3/18,100,TIES
3432,2265,59,28,3/16,100,TIES
3599,2268,60,21,3/16,100,TIES
3768,2265,61,26,3/18,100,TIES
3936,2264,60,27,3/18,100,TIES
4104,2268,61,22,3/18,100,TIES
4271,2268,64,22,3/16,100,TIES
4440,2268,62,22,3/16,100,TIES
4610,2265,61,26,3/18,100,TIES
4778,2265,59,26,3/18,100,TIES
4946,2268,59,21,3/18,100,TIES
5113,2265,62,26,3/16,100,TIES
5282,2268,61,21,3/16,100,TIES
5450,2269,61,21,3/18,100,TIES
5618,2268,61,22,3/18,100,TIES
5787,2267,60,24,3/16,100,TIES
5954,2268,61,23,3/16,100,TIES
6123,2268,58,21,3/16,100,TIES
6290,2265,62,26,3/16,100,TIES
6442,2268,70,22,TIES,100,no label
58,2311,83,22,TYPE,100,no label
253,2313,26,24,A,100,TYPE
422,2313,24,24,A,100,TYPE
589,2313,25,24,A,100,TYPE
758,2313,27,24,A,100,TYPE
926,2313,25,24,A,100,TYPE
1094,2313,26,24,A,100,TYPE
1262,2312,26,23,A,100,TYPE
1430,2313,26,22,A,100,TYPE
1598,2313,28,24,A,100,TYPE
1767,2313,25,24,A,100,TYPE
1934,2313,26,24,A,100,TYPE
2103,2313,26,24,A,100,TYPE
2272,2313,24,22,A,100,TYPE
2439,2313,27,24,A,100,TYPE
2608,2313,24,24,A,100,TYPE
2775,2313,26,24,A,100,TYPE
2944,2313,25,24,A,100,TYPE
3113,2313,24,24,A,100,TYPE
3280,2312,26,25,A,100,TYPE
3449,2313,26,22,A,100,TYPE
3616,2313,26,24,A,100,TYPE
3785,2313,26,24,A,100,TYPE
3952,2313,26,24,A,100,TYPE
4119,2313,26,24,A,100,TYPE
4287,2313,30,24,A,100,TYPE
4457,2313,24,24,A,100,TYPE
4625,2313,26,24,A,100,TYPE
4794,2313,25,24,A,100,TYPE
4961,2313,25,24,A,100,TYPE
5130,2313,26,22,A,100,TYPE
5297,2313,28,25,A,100,TYPE
5467,2313,24,24,A,100,TYPE
5635,2313,24,24,A,100,TYPE
5802,2313,27,24,A,100,TYPE
5971,2313,26,24,A,100,TYPE
6139,2313,25,24,A,100,TYPE
6307,2313,27,24,A,100,TYPE
6442,2309,81,22,TYPE,100,no label
66,2352,70,22,SIZE,100,no label
226,2350,85,22,18x28,100,SIZE
393,2350,86,22,18x28,100,SIZE
562,2352,85,22,18x24,100,SIZE
730,2352,85,22,18x24,100,SIZE
898,2350,87,24,18x24,100,SIZE
1066,2350,86,26,18x24,100,SIZE
1235,2350,86,22,18x28,100,SIZE
1403,2350,85,23,18x28,100,SIZE
1571,2350,86,22,18x28,100,SIZE
1739,2352,85,22,18x24,100,SIZE
1907,2352,86,22,18x24,100,SIZE
2075,2347,84,25,18x28,100,SIZE
2243,2347,86,26,18x28,100,SIZE
2411,2350,85,22,18x28,100,SIZE
2579,2352,85,22,18x24,100,SIZE
2747,2352,87,22,18x24,100,SIZE
2915,2350,87,22,18x28,100,SIZE
3084,2348,84,24,18x28,100,SIZE
3251,2347,86,26,18x28,100,SIZE
3420,2350,86,26,18x24,100,SIZE
3589,2351,84,23,18x24,100,SIZE
3756,2348,84,24,18x28,100,SIZE
3925,2348,85,25,18x28,100,SIZE
4093,2350,86,22,18x28,100,SIZE
4261,2352,85,22,18x24,100,SIZE
4429,2352,86,22,18x24,100,SIZE
4597,2347,84,25,18x28,100,SIZE
4765,2350,83,22,18x28,100,SIZE
4934,2350,86,22,18x28,100,SIZE
5101,2350,87,24,18x24,100,SIZE
5270,2352,87,22,18x24,100,SIZE
5439,2350,83,22,18x28,100,SIZE
5606,2350,86,22,18x28,100,SIZE
5775,2352,85,22,18x24,100,SIZE
5944,2350,85,26,18x24,100,SIZE
6111,2350,86,26,18x24,100,SIZE
6280,2352,84,24,18x24,100,SIZE
6449,2352,71,22,SIZE,100,no label
58,2395,96,21,REINF,100,no label
157,2395,6,21,.,100,no label
236,2391,18,22,6,100,VERTICAL
252,2391,18,22,#,100,VERTICAL
271,2391,17,22,9,100,VERTICAL
405,2391,18,24,6,100,VERTICAL
422,2391,19,24,#,100,VERTICAL
441,2391,18,24,9,100,VERTICAL
571,2394,18,23,6,100,VERTICAL
590,2394,18,23,#,100,VERTICAL
608,2394,19,23,8,100,VERTICAL
741,2394,18,23,6,100,VERTICAL
758,2394,19,23,#,100,VERTICAL
777,2394,18,23,8,100,VERTICAL
909,2394,19,23,6,100,VERTICAL
926,2394,19,23,#,100,VERTICAL
946,2394,17,23,8,100,VERTICAL
1077,2394,18,23,6,100,VERTICAL
1095,2394,18,23,#,100,VERTICAL
1113,2394,18,23,8,100,VERTICAL
1244,2391,18,24,6,100,VERTICAL
1261,2390,20,23,#,100,VERTICAL
1281,2390,16,23,9,100,VERTICAL
1413,2391,19,24,6,100,VERTICAL
1430,2391,19,24,#,100,VERTICAL
1449,2391,20,24,9,100,VERTICAL
1582,2391,16,24,6,100,VERTICAL
1597,2390,20,23,#,100,VERTICAL
1617,2390,16,23,9,100,VERTICAL
1749,2394,18,23,6,100,VERTICAL
1767,2394,20,23,#,100,VERTICAL
1785,2394,18,23,8,100,VERTICAL
1916,2394,18,23,6,100,VERTICAL
1936,2394,18,23,#,100,VERTICAL
1954,2394,18,23,8,100,VERTICAL
2086,2391,17,24,6,100,VERTICAL
2103,2391,18,24,#,100,VERTICAL
2123,2391,16,24,9,100,VERTICAL
2254,2391,18,24,6,100,VERTICAL
2270,2391,20,24,#,100,VERTICAL
2291,2391,17,24,9,100,VERTICAL
2421,2390,19,23,6,100,VERTICAL
2440,2390,19,23,#,100,VERTICAL
2459,2390,18,23,9,100,VERTICAL
2590,2394,18,23,6,100,VERTICAL
2608,2394,19,23,#,100,VERTICAL
2627,2394,18,23,8,100,VERTICAL
2757,2394,18,23,6,100,VERTICAL
2776,2394,19,23,#,100,VERTICAL
2795,2394,18,23,8,100,VERTICAL
2926,2391,17,24,6,100,VERTICAL
2941,2390,18,23,#,100,VERTICAL
2962,2390,17,23,9,100,VERTICAL
3094,2391,17,22,6,100,VERTICAL
3111,2391,18,22,#,100,VERTICAL
3131,2391,17,22,9,100,VERTICAL
3263,2391,18,24,6,100,VERTICAL
3280,2391,19,24,#,100,VERTICAL
3298,2391,18,24,9,100,VERTICAL
3430,2394,19,23,6,100,VERTICAL
3449,2394,19,23,#,100,VERTICAL
3467,2394,18,23,8,100,VERTICAL
3598,2394,18,23,6,100,VERTICAL
3617,2394,18,23,#,100,VERTICAL
3635,2394,19,23,8,100,VERTICAL
3766,2390,19,22,6,100,VERTICAL
3783,2390,18,22,#,100,VERTICAL
3804,2390,18,22,9,100,VERTICAL
3935,2391,18,24,6,100,VERTICAL
3952,2391,19,24,#,100,VERTICAL
3971,2391,19,24,9,100,VERTICAL
4104,2391,17,22,6,100,VERTICAL
4121,2391,18,22,#,100,VERTICAL
4139,2391,17,22,9,100,VERTICAL
4271,2394,18,24,6,100,VERTICAL
4289,2394,20,24,#,100,VERTICAL
4309,2394,18,24,8,100,VERTICAL
4440,2394,18,23,6,100,VERTICAL
4458,2394,18,23,#,100,VERTICAL
4476,2394,18,23,8,100,VERTICAL
4607,2391,18,24,6,100,VERTICAL
4625,2391,18,24,#,100,VERTICAL
4645,2391,18,24,9,100,VERTICAL
4777,2391,17,24,6,100,VERTICAL
4794,2391,18,24,#,100,VERTICAL
4813,2391,17,24,9,100,VERTICAL
4944,2390,19,25,6,100,VERTICAL
4961,2390,21,25,#,100,VERTICAL
4981,2390,18,25,9,100,VERTICAL
5113,2394,18,23,6,100,VERTICAL
5130,2394,18,23,#,100,VERTICAL
5149,2394,17,23,8,100,VERTICAL
5281,2394,18,23,6,100,VERTICAL
5299,2394,18,23,#,100,VERTICAL
5318,2394,17,23,8,100,VERTICAL
5448,2390,19,25,6,100,VERTICAL
5466,2390,18,25,#,100,VERTICAL
5486,2390,18,25,9,100,VERTICAL
5618,2391,17,24,6,100,VERTICAL
5633,2391,19,24,#,100,VERTICAL
5653,2391,17,24,9,100,VERTICAL
5785,2394,18,23,6,100,VERTICAL
5802,2394,20,23,#,100,VERTICAL
5822,2394,18,23,8,100,VERTICAL
5953,2392,18,24,6,100,VERTICAL
5972,2392,20,24,#,100,VERTICAL
5990,2392,18,24,8,100,VERTICAL
6121,2394,18,23,6,100,VERTICAL
6139,2394,19,23,#,100,VERTICAL
6158,2394,18,23,8,100,VERTICAL
6290,2394,17,23,6,100,VERTICAL
6305,2392,19,24,#,100,VERTICAL
6325,2392,17,24,8,100,VERTICAL
6442,2395,96,21,REINF,100,no label
6539,2395,8,21,.,100,no label
58,2433,68,28,TIES,100,no label
236,2434,61,22,3/18,100,TIES
405,2431,61,25,3/18,100,TIES
572,2435,62,24,3/16,100,TIES
741,2435,62,25,3/16,100,TIES
911,2433,61,27,3/16,100,TIES
1078,2433,62,27,3/16,100,TIES
1246,2434,62,21,3/18,100,TIES
1414,2434,60,22,3/18,100,TIES
1582,2434,61,21,3/18,100,TIES
1750,2435,63,24,3/16,100,TIES
1918,2437,61,22,3/16,100,TIES
2086,2434,60,22,3/18,100,TIES
2255,2431,58,26,3/18,100,TIES
2424,2431,58,26,3/18,100,TIES
2591,2433,61,28,3/16,100,TIES
2758,2435,61,25,3/16,100,TIES
2927,2434,60,21,3/18,100,TIES
3094,2433,61,23,3/18,100,TIES
3263,2431,60,26,3/18,100,TIES
3432,2433,61,27,3/16,100,TIES
3600,2435,59,24,3/16,100,TIES
3768,2434,61,21,3/18,100,TIES
3935,2434,61,21,3/18,100,TIES
4104,2434,61,21,3/18,100,TIES
4272,2435,61,24,3/16,100,TIES
4441,2433,60,28,3/16,100,TIES
4608,2434,60,21,3/18,100,TIES
4777,2431,60,26,3/18,100,TIES
4946,2431,59,26,3/18,100,TIES
5113,2433,60,27,3/16,100,TIES
5282,2433,59,27,3/16,100,TIES
5449,2434,61,21,3/18,100,TIES
5618,2434,61,23,3/18,100,TIES
5787,2435,60,25,3/16,100,TIES
5955,2435,61,24,3/16,100,TIES
6123,2434,61,26,3/16,100,TIES
6291,2433,60,28,3/16,100,TIES
6440,2435,70,24,TIES,100,no label
58,2479,85,21,TYPE,100,no label
66,2520,72,23,SIZE,100,no label
58,2562,96,22,REINF,100,no label
156,2562,6,22,.,100,no label
58,2604,72,23,TIES,100,no label
57,2647,84,23,TYPE,100,no label
35,2696,139,25,COLUMN,100,no label
99,2754,19,25,#,100,no label
64,2813,92,23,MARK,100,no label
253,2479,26,24,A,100,TYPE
420,2479,28,24,A,100,TYPE
589,2482,26,22,A,100,TYPE
758,2482,26,23,A,100,TYPE
926,2481,25,23,A,100,TYPE
1094,2482,26,23,A,100,TYPE
1262,2479,28,24,A,100,TYPE
1430,2479,27,24,A,100,TYPE
1598,2479,26,22,A,100,TYPE
1767,2482,25,23,A,100,TYPE
1934,2481,26,23,A,100,TYPE
2103,2479,26,24,A,100,TYPE
2270,2479,26,24,A,100,TYPE
2439,2479,26,24,A,100,TYPE
2608,2481,24,23,A,100,TYPE
2775,2482,26,23,A,100,TYPE
2944,2479,26,24,A,100,TYPE
3111,2479,26,25,A,100,TYPE
3280,2479,26,24,A,100,TYPE
3449,2482,24,23,A,100,TYPE
3616,2482,27,23,A,100,TYPE
3785,2479,27,24,A,100,TYPE
3953,2479,25,24,A,100,TYPE
4119,2479,28,24,A,100,TYPE
4288,2482,26,23,A,100,TYPE
4458,2481,25,23,A,100,TYPE
4625,2479,28,24,A,100,TYPE
4794,2479,25,24,A,100,TYPE
4961,2479,26,24,A,100,TYPE
5130,2482,26,23,A,100,TYPE
5299,2482,24,23,A,100,TYPE
5466,2479,26,24,A,100,TYPE
5633,2479,26,25,A,100,TYPE
5802,2482,26,22,A,100,TYPE
5971,2482,26,23,A,100,TYPE
6139,2482,26,23,A,100,TYPE
6307,2482,24,23,A,100,TYPE
6442,2479,83,22,TYPE,100,no label
226,2520,85,23,18x28,100,SIZE
393,2518,86,25,18x28,100,SIZE
562,2520,85,24,18x24,100,SIZE
730,2520,86,23,18x24,100,SIZE
898,2520,87,23,18x24,100,SIZE
1066,2520,87,23,18x24,100,SIZE
1235,2521,84,22,18x28,100,SIZE
1403,2520,86,22,18x28,100,SIZE
1571,2520,85,23,18x28,100,SIZE
1739,2518,85,25,18x24,100,SIZE
1907,2520,86,23,18x24,100,SIZE
2075,2518,85,25,18x28,100,SIZE
2243,2518,86,25,18x28,100,SIZE
2411,2520,87,23,18x28,100,SIZE
2579,2520,86,24,18x24,100,SIZE
2748,2518,84,25,18x24,100,SIZE
2915,2520,87,23,18x28,100,SIZE
3084,2518,87,25,18x28,100,SIZE
3253,2518,85,26,18x28,100,SIZE
3420,2520,87,22,18x24,100,SIZE
3587,2518,86,25,18x24,100,SIZE
3757,2520,83,23,18x28,100,SIZE
3925,2520,85,22,18x28,100,SIZE
4093,2521,86,22,18x28,100,SIZE
4261,2520,85,23,18x24,100,SIZE
4428,2521,87,22,18x24,100,SIZE
4598,2518,84,25,18x28,100,SIZE
4765,2520,86,23,18x28,100,SIZE
4934,2520,86,23,18x28,100,SIZE
5101,2521,87,22,18x24,100,SIZE
5270,2520,86,23,18x24,100,SIZE
5439,2518,84,25,18x28,100,SIZE
5606,2520,86,23,18x28,100,SIZE
5775,2518,85,25,18x24,100,SIZE
5942,2520,87,23,18x24,100,SIZE
6111,2520,87,22,18x24,100,SIZE
6280,2520,85,23,18x24,100,SIZE
6449,2520,68,23,SIZE,100,no label
236,2562,18,24,6,100,VERTICAL
252,2561,18,23,#,100,VERTICAL
271,2561,18,23,9,100,VERTICAL
236,2605,62,22,3/18,100,TIES
405,2561,17,23,6,100,VERTICAL
420,2561,20,23,#,100,VERTICAL
440,2561,18,23,9,100,VERTICAL
405,2604,59,22,3/18,100,TIES
572,2562,17,22,6,100,VERTICAL
588,2561,17,22,#,100,VERTICAL
607,2561,17,22,8,100,VERTICAL
740,2562,16,22,6,100,VERTICAL
756,2561,19,22,#,100,VERTICAL
776,2561,17,22,8,100,VERTICAL
909,2560,17,26,6,100,VERTICAL
928,2560,17,26,#,100,VERTICAL
947,2561,16,26,8,100,VERTICAL
1077,2562,17,24,6,100,VERTICAL
1095,2562,18,24,#,100,VERTICAL
1114,2562,19,24,8,100,VERTICAL
1246,2561,18,25,6,100,VERTICAL
1264,2561,19,25,#,100,VERTICAL
1282,2561,18,25,9,100,VERTICAL
1413,2561,18,25,6,100,VERTICAL
1431,2561,20,25,#,100,VERTICAL
1449,2561,18,25,9,100,VERTICAL
1582,2561,18,23,6,100,VERTICAL
1597,2561,21,23,#,100,VERTICAL
1618,2561,19,23,9,100,VERTICAL
1750,2562,16,24,6,100,VERTICAL
1766,2561,18,23,#,100,VERTICAL
1785,2561,17,23,8,100,VERTICAL
1919,2562,17,22,6,100,VERTICAL
1934,2562,19,22,#,100,VERTICAL
1957,2562,33,22,10,100,VERTICAL
2086,2562,17,22,6,100,VERTICAL
2102,2562,18,22,#,100,VERTICAL
2123,2562,33,22,10,100,VERTICAL
2254,2561,18,23,6,100,VERTICAL
2272,2561,19,23,#,100,VERTICAL
2290,2561,18,23,9,100,VERTICAL
2422,2561,18,23,6,100,VERTICAL
2438,2561,18,23,#,100,VERTICAL
2459,2561,16,23,9,100,VERTICAL
2590,2561,18,23,6,100,VERTICAL
2608,2561,18,23,#,100,VERTICAL
2626,2561,18,23,8,100,VERTICAL
2757,2562,17,24,6,100,VERTICAL
2776,2562,19,24,#,100,VERTICAL
2799,2562,32,24,10,100,VERTICAL
2926,2562,17,22,6,100,VERTICAL
2943,2562,16,22,#,100,VERTICAL
2966,2562,31,22,10,100,VERTICAL
3094,2562,19,22,6,100,VERTICAL
3110,2561,21,22,#,100,VERTICAL
3128,2560,20,22,9,100,VERTICAL
3262,2562,17,24,6,100,VERTICAL
3279,2561,18,23,#,100,VERTICAL
3297,2561,17,23,9,100,VERTICAL
3430,2562,17,22,6,100,VERTICAL
3447,2561,18,22,#,100,VERTICAL
3467,2561,17,22,8,100,VERTICAL
3599,2562,18,22,6,100,VERTICAL
3616,2562,18,22,#,100,VERTICAL
3637,2562,33,22,10,100,VERTICAL
3766,2562,19,22,6,100,VERTICAL
3783,2562,18,22,#,100,VERTICAL
3805,2562,33,22,10,100,VERTICAL
3935,2561,18,23,6,100,VERTICAL
3953,2561,20,23,#,100,VERTICAL
3971,2561,19,23,9,100,VERTICAL
4104,2561,18,23,6,100,VERTICAL
4121,2561,19,23,#,100,VERTICAL
4140,2561,18,23,9,100,VERTICAL
4271,2562,18,24,6,100,VERTICAL
4291,2562,19,24,#,100,VERTICAL
4309,2562,17,24,8,100,VERTICAL
4441,2562,17,22,6,100,VERTICAL
4458,2562,18,22,#,100,VERTICAL
4477,2562,34,22,10,100,VERTICAL
4608,2562,17,22,6,100,VERTICAL
4624,2562,18,22,#,100,VERTICAL
4646,2562,33,22,10,100,VERTICAL
4776,2561,18,23,6,100,VERTICAL
4794,2561,19,23,#,100,VERTICAL
4812,2561,18,23,9,100,VERTICAL
4944,2561,19,25,6,100,VERTICAL
4961,2561,21,25,#,100,VERTICAL
4981,2561,18,25,9,100,VERTICAL
5112,2562,18,24,6,100,VERTICAL
5130,2562,18,24,#,100,VERTICAL
5149,2562,17,24,8,100,VERTICAL
5281,2561,18,23,6,100,VERTICAL
5299,2561,18,23,#,100,VERTICAL
5318,2561,18,23,8,100,VERTICAL
5448,2561,19,23,6,100,VERTICAL
5466,2561,18,23,#,100,VERTICAL
5484,2561,20,23,9,100,VERTICAL
5618,2562,17,22,6,100,VERTICAL
5633,2561,19,22,#,100,VERTICAL
5653,2561,17,22,9,100,VERTICAL
5785,2562,17,24,6,100,VERTICAL
5802,2561,18,23,#,100,VERTICAL
5820,2561,17,23,8,100,VERTICAL
5953,2562,16,22,6,100,VERTICAL
5969,2561,19,22,#,100,VERTICAL
5989,2561,17,22,8,100,VERTICAL
6121,2562,17,22,6,100,VERTICAL
6137,2561,18,22,#,100,VERTICAL
6156,2561,18,22,8,100,VERTICAL
6290,2561,18,23,6,100,VERTICAL
6305,2561,20,23,#,100,VERTICAL
6326,2561,18,23,8,100,VERTICAL
6442,2562,93,24,REINF,100,no label
6539,2562,7,22,.,100,no label
572,2604,61,23,3/16,100,no label
740,2604,63,21,3/16,100,no label
908,2603,62,22,3/16,100,no label
1077,2603,61,23,3/16,100,no label
1247,2601,58,25,3/18,100,no label
1413,2604,62,23,3/18,100,no label
1583,2603,58,23,3/18,100,no label
1749,2604,62,22,3/16,100,no label
1918,2603,61,22,3/16,100,no label
2086,2603,60,24,3/18,100,no label
2254,2603,62,22,3/18,100,no label
2422,2603,60,23,3/18,100,no label
2590,2601,61,25,3/16,100,no label
2758,2603,61,24,3/16,100,no label
2926,2604,62,22,3/18,100,no label
3096,2604,61,23,3/18,100,no label
3263,2604,60,22,3/18,100,no label
3432,2604,61,23,3/16,100,no label
3599,2604,61,23,3/16,100,no label
3768,2603,59,24,3/18,100,no label
3935,2604,61,22,3/18,100,no label
4104,2603,59,23,3/18,100,no label
4271,2604,64,23,3/16,100,no label
4440,2601,62,25,3/16,100,no label
4608,2603,61,22,3/18,100,no label
4777,2603,60,24,3/18,100,no label
4944,2603,60,23,3/18,100,no label
5113,2604,61,23,3/16,100,no label
5281,2604,63,23,3/16,100,no label
5450,2601,59,26,3/18,100,no label
5618,2604,61,21,3/18,100,no label
5785,2603,61,23,3/16,100,no label
5954,2601,61,24,3/16,100,no label
6121,2604,61,23,3/16,100,no label
6290,2603,61,23,3/16,100,no label
6442,2601,71,26,TIES,100,no label
253,2651,25,22,A,100,no label
420,2651,25,23,A,100,no label
588,2651,28,22,A,100,no label
758,2651,24,22,A,100,no label
926,2651,26,22,A,100,no label
1094,2651,24,22,A,100,no label
1262,2651,26,22,A,100,no label
1431,2651,25,22,A,100,no label
1598,2651,25,22,A,100,no label
1766,2651,28,23,A,100,no label
1934,2651,26,22,A,100,no label
2103,2651,25,22,A,100,no label
2270,2651,25,22,A,100,no label
2439,2651,25,22,A,100,no label
2607,2651,25,22,A,100,no label
2775,2651,26,23,A,100,no label
2944,2651,25,22,A,100,no label
3110,2651,28,23,A,100,no label
3280,2651,26,23,A,100,no label
3447,2651,26,22,A,100,no label
3616,2651,25,22,A,100,no label
3785,2649,26,22,A,100,no label
3952,2651,26,22,A,100,no label
4119,2651,26,23,A,100,no label
4288,2651,27,23,A,100,no label
4457,2651,26,22,A,100,no label
4625,2651,25,22,A,100,no label
4793,2651,24,22,A,100,no label
4961,2651,26,22,A,100,no label
5129,2651,28,22,A,100,no label
5297,2651,26,23,A,100,no label
5466,2651,25,23,A,100,no label
