Label,Text,X,Y
VERTICAL,6 - #8,1104.0,2405.5
VERTICAL,6 - #9,1270.5,2402.5
VERTICAL,6 - #9,1441.0,2403.0
VERTICAL,6 - #9,1607.5,2402.5
VERTICAL,6 - #8,1776.0,2405.5
VERTICAL,6 - #8,1944.0,2405.5
VERTICAL,6 - #9,2112.5,2403.0
VERTICAL,6 - #9,2281.0,2403.0
VERTICAL,6 - #9,2449.0,2401.5
VERTICAL,6 - #8,2617.5,2405.5
VERTICAL,6 - #8,2785.0,2405.5
VERTICAL,6 - #9,2952.5,2402.5
VERTICAL,6 - #9,3121.0,2402.0
VERTICAL,6 - #9,3289.5,2403.0
VERTICAL,6 - #8,3457.5,2405.5
VERTICAL,6 - #8,3626.0,2405.5
VERTICAL,6 - #9,3794.0,2401.0
VERTICAL,6 - #9,3962.5,2403.0
VERTICAL,6 - #9,4130.0,2402.0
VERTICAL,6 - #8,4299.0,2406.0
VERTICAL,6 - #8,4467.0,2405.5
VERTICAL,6 - #9,4635.0,2403.0
VERTICAL,6 - #9,4803.5,2403.0
VERTICAL,6 - #9,4971.5,2402.5
VERTICAL,6 - #8,5139.5,2405.5
VERTICAL,6 - #8,5308.0,2405.5
VERTICAL,6 - #9,5476.0,2402.5
VERTICAL,6 - #9,5644.0,2403.0
VERTICAL,6 - #8,5812.5,2405.5
VERTICAL,6 - #8,5980.5,2404.0
VERTICAL,6 - #8,6148.5,2405.5
VERTICAL,6 - #8,6316.0,2404.5
TIES,"#3 @ 0.16666666666666666""",266.5,2445.0
TIES,"#3 @ 0.16666666666666666""",435.5,2443.5
TIES,"#3 @ 0.1875""",603.0,2447.0
TIES,"#3 @ 0.1875""",772.0,2447.5
TIES,"#3 @ 0.1875""",941.5,2446.5
TIES,"#3 @ 0.1875""",1109.0,2446.5
TIES,"#3 @ 0.16666666666666666""",1277.0,2444.5
TIES,"#3 @ 0.16666666666666666""",1444.0,2445.0
TIES,"#3 @ 0.16666666666666666""",1612.5,2444.5
TIES,"#3 @ 0.1875""",1781.5,2447.0
TIES,"#3 @ 0.1875""",1948.5,2448.0
TIES,"#3 @ 0.16666666666666666""",2116.0,2445.0
TIES,"#3 @ 0.16666666666666666""",2284.0,2444.0
TIES,"#3 @ 0.16666666666666666""",2453.0,2444.0
TIES,"#3 @ 0.1875""",2621.5,2447.0
TIES,"#3 @ 0.1875""",2788.5,2447.5
TIES,"#3 @ 0.16666666666666666""",2957.0,2444.5
TIES,"#3 @ 0.16666666666666666""",3124.5,2444.5
TIES,"#3 @ 0.16666666666666666""",3293.0,2444.0
TIES,"#3 @ 0.1875""",3462.5,2446.5
TIES,"#3 @ 0.1875""",3629.5,2447.0
TIES,"#3 @ 0.16666666666666666""",3798.5,2444.5
TIES,"#3 @ 0.16666666666666666""",3965.5,2444.5
TIES,"#3 @ 0.16666666666666666""",4134.5,2444.5
TIES,"#3 @ 0.1875""",4302.5,2447.0
TIES,"#3 @ 0.1875""",4471.0,2447.0
TIES,"#3 @ 0.16666666666666666""",4638.0,2444.5
TIES,"#3 @ 0.16666666666666666""",4807.0,2444.0
TIES,"#3 @ 0.16666666666666666""",4975.5,2444.0
TIES,"#3 @ 0.1875""",5143.0,2446.5
TIES,"#3 @ 0.1875""",5311.5,2446.5
TIES,"#3 @ 0.16666666666666666""",5479.5,2444.5
TIES,"#3 @ 0.16666666666666666""",5648.5,2445.5
TIES,"#3 @ 0.1875""",5817.0,2447.5
TIES,"#3 @ 0.1875""",5985.5,2447.0
TIES,"#3 @ 0.1875""",6153.5,2447.0
TIES,"#3 @ 0.1875""",6321.0,2447.0
TYPE,A,266.0,2491.0
TYPE,A,434.0,2491.0
TYPE,A,602.0,2493.0
TYPE,A,771.0,2493.5
TYPE,A,938.5,2492.5
TYPE,A,1107.0,2493.5
TYPE,A,1276.0,2491.0
TYPE,A,1443.5,2491.0
TYPE,A,1611.0,2490.0
TYPE,A,1779.5,2493.5
TYPE,A,1947.0,2492.5
TYPE,A,2116.0,2491.0
TYPE,A,2283.0,2491.0
TYPE,A,2452.0,2491.0
TYPE,A,2620.0,2492.5
TYPE,A,2788.0,2493.5
TYPE,A,2957.0,2491.0
TYPE,A,3124.0,2491.5
TYPE,A,3293.0,2491.0
TYPE,A,3461.0,2493.5
TYPE,A,3629.5,2493.5
TYPE,A,3798.5,2491.0
TYPE,A,3965.5,2491.0
TYPE,A,4133.0,2491.0
TYPE,A,4301.0,2493.5
TYPE,A,4470.5,2492.5
TYPE,A,4639.0,2491.0
TYPE,A,4806.5,2491.0
TYPE,A,4974.0,2491.0
TYPE,A,5143.0,2493.5
TYPE,A,5311.0,2493.5
TYPE,A,5479.0,2491.0
TYPE,A,5646.0,2491.5
TYPE,A,5815.0,2493.0
TYPE,A,5984.0,2493.5
TYPE,A,6152.0,2493.5
TYPE,A,6319.0,2493.5
SIZE,18 x 28,268.5,2531.5
SIZE,18 x 28,436.0,2530.5
SIZE,18 x 24,604.5,2532.0
SIZE,18 x 24,773.0,2531.5
SIZE,18 x 24,941.5,2531.5
SIZE,18 x 24,1109.5,2531.5
SIZE,18 x 28,1277.0,2532.0
SIZE,18 x 28,1446.0,2531.0
SIZE,18 x 28,1613.5,2531.5
SIZE,18 x 24,1781.5,2530.5
SIZE,18 x 24,1950.0,2531.5
SIZE,18 x 28,2117.5,2530.5
SIZE,18 x 28,2286.0,2530.5
SIZE,18 x 28,2454.5,2531.5
SIZE,18 x 24,2622.0,2532.0
SIZE,18 x 24,2790.0,2530.5
SIZE,18 x 28,2958.5,2531.5
SIZE,18 x 28,3127.5,2530.5
SIZE,18 x 28,3295.5,2531.0
SIZE,18 x 24,3463.5,2531.0
SIZE,18 x 24,3630.0,2530.5
SIZE,18 x 28,3798.5,2531.5
SIZE,18 x 28,3967.5,2531.0
SIZE,18 x 28,4136.0,2532.0
SIZE,18 x 24,4303.5,2531.5
SIZE,18 x 24,4471.5,2532.0
SIZE,18 x 28,4640.0,2530.5
SIZE,18 x 28,4808.0,2531.5
SIZE,18 x 28,4977.0,2531.5
SIZE,18 x 24,5144.5,2532.0
SIZE,18 x 24,5313.0,2531.5
SIZE,18 x 28,5481.0,2530.5
SIZE,18 x 28,5649.0,2531.5
SIZE,18 x 24,5817.5,2530.5
SIZE,18 x 24,5985.5,2531.5
SIZE,18 x 24,6154.5,2531.0
SIZE,18 x 24,6322.5,2531.5
VERTICAL,6 - #9,262.5,2573.5
TIES,"#3 @ 0.16666666666666666""",267.0,2616.0
VERTICAL,6 - #9,431.5,2572.5
TIES,"#3 @ 0.16666666666666666""",434.5,2615.0
VERTICAL,6 - #8,598.0,2572.5
VERTICAL,6 - #8,766.5,2572.5
VERTICAL,6 - #8,936.0,2573.5
VERTICAL,6 - #8,1105.0,2574.0
VERTICAL,6 - #9,1273.0,2573.5
VERTICAL,6 - #9,1440.0,2573.5
VERTICAL,6 - #9,1609.5,2572.5
VERTICAL,6 - #8,1776.0,2573.5
VERTICAL,6 - #10,1954.5,2573.0
VERTICAL,6 - #10,2121.0,2573.0
VERTICAL,6 - #9,2281.0,2572.5
VERTICAL,6 - #9,2448.5,2572.5
VERTICAL,6 - #8,2617.0,2572.5
VERTICAL,6 - #10,2794.0,2574.0
VERTICAL,6 - #10,2961.5,2573.0
VERTICAL,6 - #9,3121.0,2572.0
VERTICAL,6 - #9,3288.0,2573.5
VERTICAL,6 - #8,3457.0,2572.5
VERTICAL,6 - #10,3634.5,2573.0
VERTICAL,6 - #10,3802.0,2573.0
VERTICAL,6 - #9,3962.5,2572.5
VERTICAL,6 - #9,4131.0,2572.5
VERTICAL,6 - #8,4298.5,2574.0
VERTICAL,6 - #10,4476.0,2573.0
VERTICAL,6 - #10,4643.5,2573.0
VERTICAL,6 - #9,4803.0,2572.5
VERTICAL,6 - #9,4971.5,2573.5
VERTICAL,6 - #8,5139.0,2574.0
VERTICAL,6 - #8,5308.5,2572.5
VERTICAL,6 - #9,5476.0,2572.5
VERTICAL,6 - #9,5644.0,2572.5
VERTICAL,6 - #8,5811.0,2573.5
VERTICAL,6 - #8,5979.5,2572.5
VERTICAL,6 - #8,6147.5,2572.5
VERTICAL,6 - #8,6317.0,2572.5
